21	2.85714	0.28445	0.0905432
24	2.83333	0.308259	0.098122
27	2.96296	0.17863	0.0568596
30	2.93333	0.208259	0.066291
34	2.82353	0.318063	0.101243
38	2.84211	0.299487	0.0953298
43	2.97674	0.164848	0.0524729
49	3.02041	0.121184	0.0385742
56	3	0.141593	0.0450703
64	2.9375	0.204093	0.0649647
73	2.9589	0.182689	0.0581516
83	2.93976	0.201834	0.0642456
95	3.03158	0.110014	0.0350185
109	3.00917	0.132418	0.0421501
125	3.072	0.0695927	0.022152
143	3.13287	0.00872552	0.00277742
164	3.09756	0.0440317	0.0140157
188	3.14894	0.00734352	0.00233751
216	3.2037	0.0621111	0.0197706
248	3.24194	0.100343	0.0319401
285	3.2	0.0584073	0.0185916
327	3.1682	0.0266031	0.00846802
375	3.11467	0.026926	0.00857081
431	3.13689	0.0047017	0.0014966
495	3.16768	0.0260841	0.00830283
569	3.16344	0.021852	0.0069557
654	3.15596	0.0143706	0.00457432
751	3.13715	0.00444219	0.00141399
863	3.11472	0.0268765	0.00855507
992	3.12903	0.0125604	0.0039981
1140	3.12281	0.0187856	0.00597965
1310	3.12366	0.0179285	0.00570683
1506	3.14741	0.0058177	0.00185183
1731	3.13576	0.00583298	0.00185669
1990	3.13367	0.00792431	0.00252239
2288	3.1486	0.00700875	0.00223095
2631	3.15926	0.0176624	0.00562211
3025	3.13653	0.00506373	0.00161183
3478	3.13168	0.00990778	0.00315374
3999	3.13478	0.00680896	0.00216736
4598	3.15268	0.0110824	0.00352764
5287	3.15415	0.012559	0.00399767
6079	3.16302	0.0214276	0.00682061
6990	3.15994	0.0183501	0.00584103
8038	3.15053	0.00894231	0.00284642
9243	3.15612	0.0145255	0.00462361
10629	3.15589	0.0143016	0.00455234
12223	3.15144	0.00984316	0.00313318
14056	3.14001	0.00158127	0.000503334
16164	3.13215	0.00944715	0.00300712
18588	3.13342	0.00817324	0.00260162
21376	3.13342	0.00817199	0.00260123
24582	3.13677	0.00482591	0.00153614
28269	3.13828	0.00331397	0.00105487
32509	3.14165	6.04271e-05	1.92345e-05
37385	3.14286	0.00127213	0.000404932
42992	3.14142	0.000170994	5.4429e-05
49440	3.13892	0.0026768	0.000852051
56855	3.13907	0.00251957	0.000802005
65383	3.14051	0.00108212	0.000344451
75190	3.14255	0.000952898	0.000303317
86468	3.14017	0.00142519	0.000453653
99438	3.13912	0.00247079	0.000786476
114353	3.13926	0.00233089	0.000741947
131505	3.13901	0.00257893	0.000820898
151230	3.13679	0.00480762	0.00153031
173914	3.13603	0.0055599	0.00176977
200000	3.13484	0.00675265	0.00214944
229999	3.13685	0.00474423	0.00151014
264498	3.13698	0.00461619	0.00146938
304172	3.1388	0.00278961	0.00088796
349797	3.13825	0.00333818	0.00106258
402266	3.13911	0.00248569	0.000791221
462605	3.14012	0.00147095	0.000468218
531995	3.14058	0.00101426	0.00032285
611794	3.14123	0.000365378	0.000116303
703562	3.1422	0.000606612	0.000193091
809096	3.14221	0.000620384	0.000197474
930460	3.14139	0.000200224	6.37333e-05
1070028	3.14076	0.000829982	0.000264191
1230532	3.14115	0.000440697	0.000140278
1415111	3.14125	0.00033801	0.000107592
1627377	3.14139	0.000206239	6.56478e-05
1871483	3.14112	0.000477292	0.000151927
2152205	3.14182	0.000223298	7.10779e-05
2475035	3.14169	9.8676e-05	3.14096e-05
2846290	3.14198	0.000385149	0.000122597
3273233	3.14184	0.000251511	8.00584e-05
3764217	3.14166	7.21335e-05	2.29608e-05
4328849	3.14182	0.000230958	7.35163e-05
4978176	3.14223	0.000632933	0.000201469
5724902	3.14241	0.000819915	0.000260987
6583637	3.14224	0.000648026	0.000206273
7571182	3.14255	0.000956026	0.000304313
8706859	3.14243	0.000840685	0.000267598
